AR,GARCH_p,GARCH_q,Log-Likelihood,AIC,BIC
0,1,1,-3643.1134925077117,7298.226985015423,7333.3996582854
1,1,1,-3639.7650202530476,7293.530040506095,7334.562130050863
2,1,1,-3638.9053731255085,7293.810746251017,7340.701480615817
0,2,1,-3643.0310597907883,7300.062119581577,7341.096905063216
0,1,2,-3643.1134929040627,7300.226985808125,7341.2617712897645
1,2,1,-3639.570221955851,7295.140443911702,7342.034260534294
1,1,2,-3639.7650201882743,7295.530040376549,7342.42385699914
2,2,1,-3638.728788442202,7295.457576884404,7348.209653044804
0,3,1,-3642.697371217775,7301.39474243555,7348.291640128852
2,1,2,-3638.9053729325874,7295.810745865175,7348.562822025575
